AggregationMethod,Date,Version,AirportName,PercentOfBaseline,lon,lat,City,State,ISO_3166_2,Country
Daily,2020-08-08,1.0,Kingsford Smith,26,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-17,1.0,Kingsford Smith,90,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-11,1.0,Kingsford Smith,47,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-25,1.0,Kingsford Smith,35,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-12,1.0,Kingsford Smith,25,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-22,1.0,Kingsford Smith,89,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-30,1.0,Kingsford Smith,62,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-23,1.0,Kingsford Smith,84,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-26,1.0,Kingsford Smith,11,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-10,1.0,Kingsford Smith,8,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-05,1.0,Kingsford Smith,50,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-16,1.0,Kingsford Smith,23,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-18,1.0,Kingsford Smith,21,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-07,1.0,Kingsford Smith,22,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-09,1.0,Kingsford Smith,24,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-11,1.0,Kingsford Smith,20,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-27,1.0,Kingsford Smith,58,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-04,1.0,Kingsford Smith,53,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-19,1.0,Kingsford Smith,65,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-21,1.0,Kingsford Smith,17,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-15,1.0,Kingsford Smith,18,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-21,1.0,Kingsford Smith,46,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-15,1.0,Kingsford Smith,59,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-10,1.0,Kingsford Smith,56,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-13,1.0,Kingsford Smith,36,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-19,1.0,Kingsford Smith,52,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-28,1.0,Kingsford Smith,22,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-20,1.0,Kingsford Smith,51,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-23,1.0,Kingsford Smith,9,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-30,1.0,Kingsford Smith,65,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-11,1.0,Kingsford Smith,52,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-25,1.0,Kingsford Smith,53,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-08,1.0,Kingsford Smith,25,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-19,1.0,Kingsford Smith,89,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-02,1.0,Kingsford Smith,59,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-10,1.0,Kingsford Smith,40,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-16,1.0,Kingsford Smith,63,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-23,1.0,Kingsford Smith,16,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-15,1.0,Kingsford Smith,16,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-23,1.0,Kingsford Smith,57,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-08,1.0,Kingsford Smith,55,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-06,1.0,Kingsford Smith,9,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-27,1.0,Kingsford Smith,81,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-30,1.0,Kingsford Smith,75,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-02,1.0,Kingsford Smith,16,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-27,1.0,Kingsford Smith,51,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-06,1.0,Kingsford Smith,52,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-13,1.0,Kingsford Smith,10,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-22,1.0,Kingsford Smith,65,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-13,1.0,Kingsford Smith,14,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-01,1.0,Kingsford Smith,61,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-22,1.0,Kingsford Smith,16,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-28,1.0,Kingsford Smith,57,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-16,1.0,Kingsford Smith,56,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-19,1.0,Kingsford Smith,26,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-02,1.0,Kingsford Smith,13,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-29,1.0,Kingsford Smith,66,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-08,1.0,Kingsford Smith,24,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-19,1.0,Kingsford Smith,60,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
